x,float_direct,float_expanded,double_direct,double_expanded,quad_direct,quad_expanded
0.999901850000000000027,-8.78649986e-29,1.43051147e-06,-8.7746969762629283e-29,-3.5527136788005009e-15,-8.77469697625098723351148838868993199e-29,-8.77422867783714458878654654994611527e-29
0.999901900000000000001,-8.74922409e-29,3.81469727e-06,-8.7434544456471573e-29,2.6645352591003757e-15,-8.74345444565348249501916364698194473e-29,-8.74341379872694881513765090286475644e-29
0.999901950000000000029,-8.71208313e-29,-1.43051147e-06,-8.7123073119890076e-29,-4.4408920985006262e-15,-8.71230731201345580748796536748050524e-29,-8.7125989196167530414887552557833976e-29
0.999902000000000000003,-8.6750788e-29,9.53674316e-07,-8.681255332493551e-29,1.7763568394002505e-15,-8.68125533246719803795219818916014808e-29,-8.68147589171545531010337065223122518e-29
0.999902050000000000031,-8.63820807e-29,-9.53674316e-07,-8.6502982646539934e-29,8.8817841970012523e-16,-8.65029826464574780989945123501757114e-29,-8.65004471502305562098149709220823916e-29
0.999902100000000000006,-8.60147216e-29,1.43051147e-06,-8.6194358666646126e-29,8.8817841970012523e-16,-8.61943586667440413648011312727658903e-29,-8.61861353833065593185962353218525315e-29
0.999902150000000000034,-8.60147216e-29,1.43051147e-06,-8.5886678971440241e-29,-3.5527136788005009e-15,-8.58866789717170198026584301106953841e-29,-8.58872310559376603142019475451633508e-29
0.999902200000000000008,-8.56487046e-29,1.90734863e-06,-8.5579941152714369e-29,2.6645352591003757e-15,-8.55799411524892478520229614263279196e-29,-8.55790822648357025777129910743497624e-29
0.999902249999999999982,-8.52840238e-29,-1.43051147e-06,-8.5274142805137151e-29,9.7699626167013776e-15,-8.52741428050911632273893330730628762e-29,-8.5270933473733744841224034603536174e-29
0.99990230000000000001,-8.4920667e-29,-9.53674316e-07,-8.4969281530332589e-29,1.7763568394002505e-15,-8.49692815304642760991889989979577026e-29,-8.49689476584538262594648572621388574e-29
0.999902349999999999985,-8.45586463e-29,1.43051147e-06,-8.4665354934146015e-29,1.7763568394002505e-15,-8.46653549344546276420165875232774208e-29,-8.46700433310849272550705694854496767e-29
0.999902400000000000013,-8.41979437e-29,0,-8.4362360627990555e-29,4.4408920985006262e-15,-8.43623606278029580843083911755896694e-29,-8.43618945399829695185816130146360883e-29
0.999902449999999999987,-8.41979437e-29,0,-8.4060296226150629e-29,0,-8.40602962261398297931864487023041245e-29,-8.40568272367920313594575461085306358e-29
0.999902500000000000015,-8.38385592e-29,1.90734863e-06,-8.3759159349810888e-29,3.5527136788005009e-15,-8.37591593499754938253978764708786408e-29,-8.37548414215121127776983687671333192e-29
0.999902549999999999989,-8.34804987e-29,4.29153442e-06,-8.3458947625021322e-29,-8.8817841970012523e-16,-8.34589476246950122360857718717486773e-29,-8.34559370941432137733040809904441385e-29
0.999902600000000000018,-8.31237503e-29,-9.53674316e-07,-8.3159658680699127e-29,1.7763568394002505e-15,-8.31596586805481561084817555724168048e-29,-8.31570327667743147689097932137549578e-29
0.999902649999999999992,-8.27683019e-29,-4.76837158e-07,-8.2861290152620941e-29,1.7763568394002505e-15,-8.28612901526445271534090249224736683e-29,-8.28673729031384744966101741311901847e-29
0.99990270000000000002,-8.24141534e-29,-1.90734863e-06,-8.2563839680746762e-29,1.7763568394002505e-15,-8.2563839680943487119591862270625915e-29,-8.25623055999475363374861072250847322e-29
0.999902749999999999994,-8.24141534e-29,-1.90734863e-06,-8.2267304910537549e-29,-7.1054273576010019e-15,-8.22673049102492787503582592021019018e-29,-8.22634012725786373330918194483955515e-29
