x,direct_f,expand_f,horner_f,direct_d,expand_d,horner_d,direct_q,expand_q,horner_q
0.70760000000000001,4.56850103e-06,5.7220459e-06,4.58955765e-06,4.5685005639475512e-06,4.5685005680695667e-06,4.5685005682916113e-06,4.56850056394755071811556581631328513e-06,4.56850056394755071811556581262912861e-06,4.56850056394755071811556581859951144e-06
0.7077,4.55289819e-06,7.15255737e-06,2.2649765e-06,4.5529004404657156e-06,4.5529004406574813e-06,4.5529004407685036e-06,4.55290044046571544917102619296664433e-06,4.55290044046571544917102619251383435e-06,4.55290044046571544917102618991382893e-06
0.70779999999999998,4.53735265e-06,5.24520874e-06,4.11272049e-06,4.5373482763317921e-06,4.5373482713273461e-06,4.5373482694399669e-06,4.53734827633179283473601588714135898e-06,4.53734827633179283473601588521185333e-06,4.53734827633179283473601588848593424e-06
0.70789999999999997,4.52184577e-06,4.29153442e-06,5.24520874e-06,4.5218439404422488e-06,4.5218439348460038e-06,4.5218439412852973e-06,4.52184394044224778197328489770368958e-06,4.52184394044224778197328489496549891e-06,4.52184394044224778197328489718031835e-06
0.70799999999999996,4.50638663e-06,7.62939453e-06,5.78165054e-06,4.5063873020072435e-06,4.5063872935457994e-06,4.5063872995410037e-06,4.50638730200724342234378300846125421e-06,4.50638730200724342234378301177062198e-06,4.50638730200724342234378301051876752e-06
0.70809999999999995,4.49097524e-06,4.76837158e-06,4.29153442e-06,4.4909782305499979e-06,4.4909782310753599e-06,4.4909782210833527e-06,4.49097823054999751839889721206888737e-06,4.4909782305499975183988972153476776e-06,4.49097823054999751839889720976248076e-06
0.70819999999999994,4.47561979e-06,2.86102295e-06,4.29153442e-06,4.475616595906139e-06,4.475616600885246e-06,4.4756165885617705e-06,4.47561659590613997129601976473459485e-06,4.47561659590613997129601976416715361e-06,4.47561659590613997129601976378196762e-06
0.70829999999999993,4.46030299e-06,3.81469727e-06,2.86102295e-06,4.4603022682230717e-06,4.4603022670841597e-06,4.4603022685274496e-06,4.4603022682230714275308970329142967e-06,4.46030226822307142753089703428406501e-06,4.46030226822307142753089703466925099e-06
0.70839999999999992,4.44503348e-06,5.24520874e-06,4.23192978e-06,4.4450351179593224e-06,4.4450351133207278e-06,4.445035118538776e-06,4.44503511795932298338175632332096662e-06,4.44503511795932298338175632618658234e-06,4.4450351179593229833817563240680594e-06
0.70849999999999991,4.42981036e-06,4.76837158e-06,4.23192978e-06,4.4298150158839164e-06,4.4298150125854363e-06,4.4298150166932615e-06,4.42981501588391698556175385828265448e-06,4.42981501588391698556175386191923654e-06,4.42981501588391698556175385797108015e-06
0.70860000000000001,4.41464408e-06,6.19888306e-06,5.78165054e-06,4.4146418330757117e-06,4.4146418343160576e-06,4.4146418354262806e-06,4.41464183307571210695872231305432519e-06,4.41464183307571210695872230465530197e-06,4.41464183307571210695872231293680073e-06
0.7087,4.39951555e-06,5.7220459e-06,3.15904617e-06,4.3995154409228323e-06,4.3995154328513308e-06,4.3995154405118697e-06,4.39951544092283366555329095156043512e-06,4.39951544092283366555329094472527416e-06,4.39951544092283366555329095310306942e-06
0.70879999999999999,4.38443294e-06,4.76837158e-06,2.62260437e-06,4.3844357111219358e-06,4.3844357060507377e-06,4.3844357093814068e-06,4.38443571112193663120371814093153477e-06,4.38443571112193663120371813731827966e-06,4.38443571112193663120371813837754113e-06
0.70889999999999997,4.36940627e-06,9.53674316e-07,2.92062759e-06,4.3694025156776382e-06,4.3694025206875153e-06,4.3694025201324038e-06,4.36940251567763823051961604505011816e-06,4.36940251567763823051961604793842018e-06,4.36940251567763823051961604350878131e-06
0.70899999999999996,4.35441734e-06,5.7220459e-06,3.81469727e-06,4.3544157269018663e-06,4.3544157257713323e-06,4.3544157302122244e-06,4.35441572690186733441967730652468262e-06,4.35441572690186733441967730916319357e-06,4.35441572690186733441967730405947922e-06
